name	ncloc	bugs	vulnerabilities	security_hotspots	sqale_index	code_smells	duplicated_lines_density	duplicated_blocks
ats_00	2883	17	1	14	4068	447	3.5	8
ats_01	2785	16	6	8	3365	323	0.0	0
ats_02	1697	6	4	15	3167	338	8.4	18
ats_03	1949	15	4	15	3029	317	0.0	0
ats_04	1714	13	0	2	3014	323	4.8	13
ats_05	1678	0	0	4	3617	357	11.0	17
ats_06	2583	23	4	15	3528	333	4.3	8
ats_07	1801	33	0	52	2887	340	4.0	6
ats_08	2344	11	1	8	2946	301	5.5	7
ats_09	4107	18	0	48	6951	684	5.8	22
ats_10	2017	19	0	16	4937	475	1.2	2
ats_11	2948	25	1	23	3188	343	2.8	6
ats_12	2473	21	0	68	4434	452	12.5	18
ats_13	1080	10	3	11	1715	182	22.2	15
ats_14	3511	20	5	15	7055	650	6.7	18
ats_15	1742	9	1	10	2452	254	2.9	8
ats_16	3447	19	0	2	5035	492	7.4	31
ats_17	2222	17	12	27	3812	458	6.9	7
ats_18	3230	16	0	61	5687	553	10.5	26
ats_19	2100	16	1	10	3960	297	7.4	21
ats_20	1952	6	0	45	1403	187	3.9	6
ats_21	1190	9	34	9	2114	203	5.1	7
ats_22	2588	13	0	32	5059	445	12.3	26
ats_23	3869	23	0	11	8159	747	6.3	14
ats_24	2697	25	5	9	3807	366	8.5	13
ats_25	2697	26	0	8	3560	321	0.9	2
ats_26	1892	18	0	31	2158	258	1.4	2
ats_27	2569	18	0	12	4481	497	0.6	2
ats_28	2932	27	0	8	3201	305	3.6	8
ats_29	1552	7	0	2	2696	253	1.5	2
ats_30	2249	20	0	35	2737	319	11.5	8
ats_31	6493	5	4	6	6144	379	20.4	122
ats_32	2024	19	24	15	3465	366	2.3	6
ats_33	1949	18	0	9	2618	244	4.8	19
ats_34	2638	20	1	29	4033	412	2.8	12
ats_35	2209	15	2	9	2008	227	0.0	0
ats_36	1986	20	3	26	2390	258	4.9	6
ats_37	3070	26	2	11	6082	573	4.3	12
ats_38	13	0	0	0	0	0	0.0	0
ats_39	2484	74	20	3	4689	512	10.4	25
ats_40	3162	15	0	10	2484	209	14.1	42
ats_41	1780	24	0	16	2805	287	3.6	7
ats_42	2284	19	16	4	3885	382	5.7	14
ats_43	3636	13	9	41	4123	385	11.3	44
ats_44	1780	13	1	15	2252	246	5.1	6
ats_45	2854	6	4	13	2566	249	7.9	18
ats_46	2671	17	0	12	1324	180	2.8	8
ats_47	2430	18	7	8	2580	267	8.4	16
ats_48	3314	17	0	20	4255	428	3.5	10
ats_49	2808	9	2	7	3463	320	8.8	17
ats_50	2164	4	5	6	1650	148	5.2	14
ats_51	2013	12	1	9	1640	187	1.2	2
ats_52	2671	30	3	6	5285	538	2.7	11
ats_53	3015	12	92	8	2406	309	0.0	0
ats_54	3593	4	0	6	4775	444	3.6	11
ats_55	2265	20	1	14	2972	283	2.9	5
ats_56	3618	16	3	58	5598	554	1.5	6
ats_57	3189	15	0	23	2059	204	0.0	0
ats_58	2332	17	1	59	2225	210	5.6	11
ats_59	2320	14	8	8	2657	250	0.9	2
ats_60	2557	7	0	9	2561	208	2.6	7
ats_61	3431	21	1	16	3180	315	3.8	7
ats_62	13	0	0	0	0	0	0.0	0
ats_63	1807	15	0	19	1815	178	0.0	0
ats_64	2580	61	1	60	3936	387	3.9	12
ats_65	2628	6	2	9	2885	260	2.3	4
ats_66	2994	20	0	10	4339	376	6.4	24
ats_67	2665	8	0	14	2304	189	1.5	4
ats_68	3426	39	3	21	6115	697	4.7	10
ats_69	2804	7	0	38	5684	524	4.2	19
ats_70	3169	13	7	6	3516	343	5.0	8
ats_71	3449	17	1	18	3671	329	1.7	6
ats_72	2024	19	24	15	3465	366	2.3	6
ats_73	4119	15	22	8	2805	330	3.6	10
ats_74	4228	36	0	15	4845	513	1.1	4
ats_75	13	0	0	0	0	0	0.0	0
ats_76	3286	21	3	18	2725	266	0.0	0
ats_77	4354	30	5	25	3936	290	2.4	17
ats_78	5118	28	8	6	7292	605	15.8	100
ats_79	2619	13	1	6	3940	321	3.1	13
ats_80	13	0	0	0	0	0	0.0	0
ats_81	2859	16	11	15	3893	447	4.0	17
ats_82	2926	21	18	35	3696	270	8.7	18
ats_83	4064	28	4	22	7687	822	5.3	19
ats_84	3269	12	22	23	2329	256	2.8	7
ats_85	3149	18	1	33	2775	245	3.1	11
ats_86	2688	12	1	130	3791	299	6.4	60
ats_87	3016	15	1	10	2865	357	4.7	7
ats_88	1926	18	8	7	1314	149	4.8	9
ats_89	4659	9	1	16	7012	700	12.1	41
ats_90	3181	31	2	5	2884	232	9.3	26
ats_91	2622	16	4	11	1720	151	3.2	7
ats_92	3146	27	0	8	5185	433	8.2	41
ats_93	2756	12	0	38	2743	214	5.9	19
ats_94	1814	3	7	6	2397	315	3.9	8
ats_95	3639	17	3	6	2253	200	1.6	6
ats_96	1133	2	3	7	1955	223	5.0	7
ats_97	3155	6	19	24	2913	301	0.6	2
ats_98	3549	3	21	9	5228	638	7.7	21
